no,level,salary,huyou,jukyo,tsukin,nichgakutokukin,jikangai,yakan,kanri,kanritokukin,bonus,shoteate,jinkenhi
1265,Åh07,401128,26800,15300,11903,0,0,0,74860,0,1483459,731831,9299190
1266,Åh07,403585,12800,0,7400,0,0,0,74860,0,1449729,735766,8876623
1267,Åh07,403585,12800,15300,7056,0,0,0,74860,0,1449729,735766,9056095
1268,Åh05,381854,0,0,11046,0,23842,0,0,0,1263616,657884,7472268
1269,Åh05,337161,29600,18100,11903,0,27072,0,0,0,1189008,573597,7376769
1270,Åh05,385033,0,18100,11046,0,30915,0,0,0,1273908,663241,7832713
1271,Åh05,396253,0,18100,3025,0,14140,0,0,0,1387451,683055,7819322
1272,Åh01,194432,0,30100,3025,0,33158,0,0,0,89193,87571,3585316
1273,Åh01,181888,0,30100,5040,3600,33626,0,0,0,83081,81570,3477611
1274,Åh01,211386,0,30100,4536,0,29346,0,0,0,97026,95262,3801096
1275,Åh01,188650,0,0,20730,3600,116322,0,0,0,86476,84904,4394660
1276,Åh01,211386,14000,30100,2900,0,69103,0,0,0,103494,95262,4453176
1277,Åh01,188650,0,0,11903,2200,95931,0,0,0,86476,84904,4027244
1278,Åh01,236278,7800,15300,3780,0,10876,0,0,0,112447,106864,3859187
1279,Åh01,220990,7800,18100,6800,0,68520,0,0,0,105157,99707,4400832
1280,Åh01,240198,0,18100,0,0,77399,0,0,0,110971,108953,4594164
1281,Åh01,220990,23100,30100,3780,2520,4258,0,0,0,112225,99707,3980388
1282,Åh01,216580,0,30100,0,2200,122874,0,0,0,99516,97707,4970139
1283,Åh01,181888,0,0,15884,0,312906,0,0,0,83081,81570,6554699
1284,Åh01,181888,0,0,19408,0,1623,0,0,0,83081,81570,2861591
1285,Åh01,211386,0,30100,3780,3600,11618,0,0,0,97026,95262,3622488
1286,Åh01,233142,0,0,5040,0,0,0,0,0,107304,105353,3406565
1287,Åh01,205898,0,30100,11853,0,45555,0,0,0,94490,92772,4004618
1288,Åh01,211386,0,0,25151,0,29346,0,0,0,97026,95262,3687276
1289,Åh01,220990,0,15300,3780,0,18055,0,0,0,101553,99707,3616976
1290,Åh01,240198,29600,18100,3780,0,56311,0,0,0,124646,108953,4797967
1291,Åh01,240198,29600,15300,12873,0,38656,0,0,0,124646,108953,4661623
1292,Åh01,185416,0,18100,5000,0,13628,0,0,0,84847,83304,3100867
1293,Åh01,231476,0,0,8976,0,19079,0,0,0,106488,104552,3658736
1294,Åh01,190120,0,0,10580,0,13976,0,0,0,87835,71865,3009580
1295,Åh01,198646,0,0,9833,0,56142,0,0,0,0,0,3461496
1296,Åh01,204526,0,30100,7056,0,0,0,0,0,0,0,3194700
1297,Åh01,179830,0,0,13163,1660,25995,0,0,0,0,0,2906724
1298,Åh01,179830,0,0,16659,0,4812,0,0,0,0,0,2674560
1299,Åh01,179830,0,0,13824,0,12832,0,0,0,0,0,2736780
1300,Åh01,179830,0,0,3780,0,8662,0,0,0,0,0,2566212
1301,Åh01,179830,0,0,8550,1500,0,0,0,0,0,0,2537508
1302,Åh01,179830,0,0,12060,0,6995,0,0,0,0,0,2645568
1303,Åh01,179830,0,0,7560,0,4812,0,0,0,0,0,2565372
1304,Åh01,179830,0,0,21420,3600,52932,0,0,0,0,0,3352332
1305,Åh01,179830,0,0,13239,0,0,0,0,0,0,0,2575776
